Nome da instituicao;Sigla da instituicao;Nome da base de dados;Sigla da base de dados;Responsavel pelo registro;Numero do registro no portal;Numero do registro na base de dados;Data do registro;Data do evento;Data de Carencia;Nome cientifico;Nome comum;Nome cientifico na base de dados;Nivel taxonomico;Numero de individuos;Reino;Filo;Classe;Ordem;Familia;Genero;Especie;Estado de conservacao;Categoria de Ameaca;Localidade;Pais;Estado/Provincia;Municipio;Status de Sensibilidade;Latitude;Longitude;Outras informacoes da localidade;Jurisdicao;Destino do Material
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Luís Fábio Silveira;432282;Nº Da Autorização/Licença Sisbio: 28294, Projeto: Filogeografia Comparada Das Aves Das Terras Baixas Neotropicais: O Papel Relativo Das Barreiras Biogeográficas E Ecológicas Na Modelagem Dos Padrões Genéticos E De Distribuição Geográfica;09/09/2010;10/09/2010 a 10/09/2010;01/04/2016;Mionectes oleagineus;Abre-asa;Mionectes oleagineus;species;1;Sem Informações;Chordata;Aves;Passeriformes;Tyrannidae;Mionectes;Mionectes oleagineus;Espécie não Ameaçada;Sem Informações;Fartura;Brasil;PA;Santana Do Araguaia;Espécie não Sensível;-9.747778;-50.413889;Coordenada exata da ocorrência;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Alexandre Luis Padovan Aleixo;440068;Nº Da Autorização/Licença Sisbio: 10420;24/08/2013;25/08/2013 a 25/08/2013;20/07/2016;Mionectes oleagineus;Abre-asa;Mionectes oleagineus;species;1;Sem Informações;Chordata;Aves;Passeriformes;Tyrannidae;Mionectes;Mionectes oleagineus;Espécie não Ameaçada;Sem Informações;T.I. Médio Rio Negro, Arabo (0o14 S,66o51 W);Brasil;AM;Sao Gabriel Da Cachoeira;Espécie não Sensível;-0.233333;-66.85;Coordenada de referência da área amostrada;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Alexandre Luis Padovan Aleixo;440069;Nº Da Autorização/Licença Sisbio: 10420;25/08/2013;26/08/2013 a 26/08/2013;20/07/2016;Mionectes oleagineus;Abre-asa;Mionectes oleagineus;species;1;Sem Informações;Chordata;Aves;Passeriformes;Tyrannidae;Mionectes;Mionectes oleagineus;Espécie não Ameaçada;Sem Informações;T.I. Médio Rio Negro, Arabo (0o14 S,66o51 W);Brasil;AM;Sao Gabriel Da Cachoeira;Espécie não Sensível;-0.233333;-66.85;Coordenada de referência da área amostrada;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Alexandre Luis Padovan Aleixo;440070;Nº Da Autorização/Licença Sisbio: 10420;27/08/2013;28/08/2013 a 28/08/2013;20/07/2016;Mionectes oleagineus;Abre-asa;Mionectes oleagineus;species;1;Sem Informações;Chordata;Aves;Passeriformes;Tyrannidae;Mionectes;Mionectes oleagineus;Espécie não Ameaçada;Sem Informações;T.I. Médio Rio Negro, Arabo (0o14 S,66o51 W);Brasil;AM;Sao Gabriel Da Cachoeira;Espécie não Sensível;-0.233333;-66.85;Coordenada de referência da área amostrada;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Alexandre Luis Padovan Aleixo;440071;Nº Da Autorização/Licença Sisbio: 10420;27/08/2013;28/08/2013 a 28/08/2013;20/07/2016;Mionectes oleagineus;Abre-asa;Mionectes oleagineus;species;1;Sem Informações;Chordata;Aves;Passeriformes;Tyrannidae;Mionectes;Mionectes oleagineus;Espécie não Ameaçada;Sem Informações;T.I. Médio Rio Negro, Arabo (0o14 S,66o51 W);Brasil;AM;Sao Gabriel Da Cachoeira;Espécie não Sensível;-0.233333;-66.85;Coordenada de referência da área amostrada;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Alexandre Luis Padovan Aleixo;440307;Nº Da Autorização/Licença Sisbio: 10420;10/08/2013;11/08/2013 a 11/08/2013;20/07/2016;Mionectes oleagineus;Abre-asa;Mionectes oleagineus;species;1;Sem Informações;Chordata;Aves;Passeriformes;Tyrannidae;Mionectes;Mionectes oleagineus;Espécie não Ameaçada;Sem Informações;Bi-1 (0o08 S,67o01 W);Brasil;AM;Sao Gabriel Da Cachoeira;Espécie não Sensível;-0.133333;-67.016667;Coordenada de referência da área amostrada;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Alexandre Luis Padovan Aleixo;440308;Nº Da Autorização/Licença Sisbio: 10420;10/08/2013;11/08/2013 a 11/08/2013;20/07/2016;Mionectes oleagineus;Abre-asa;Mionectes oleagineus;species;1;Sem Informações;Chordata;Aves;Passeriformes;Tyrannidae;Mionectes;Mionectes oleagineus;Espécie não Ameaçada;Sem Informações;Bi-1 (0o08 S,67o01 W);Brasil;AM;Sao Gabriel Da Cachoeira;Espécie não Sensível;-0.133333;-67.016667;Coordenada de referência da área amostrada;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Alexandre Luis Padovan Aleixo;440309;Nº Da Autorização/Licença Sisbio: 10420;10/08/2013;11/08/2013 a 11/08/2013;20/07/2016;Mionectes oleagineus;Abre-asa;Mionectes oleagineus;species;1;Sem Informações;Chordata;Aves;Passeriformes;Tyrannidae;Mionectes;Mionectes oleagineus;Espécie não Ameaçada;Sem Informações;Bi-1 (0o08 S,67o01 W);Brasil;AM;Sao Gabriel Da Cachoeira;Espécie não Sensível;-0.133333;-67.016667;Coordenada de referência da área amostrada;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Alexandre Luis Padovan Aleixo;440310;Nº Da Autorização/Licença Sisbio: 10420;10/08/2013;11/08/2013 a 11/08/2013;20/07/2016;Mionectes oleagineus;Abre-asa;Mionectes oleagineus;species;1;Sem Informações;Chordata;Aves;Passeriformes;Tyrannidae;Mionectes;Mionectes oleagineus;Espécie não Ameaçada;Sem Informações;Bi-1 (0o08 S,67o01 W);Brasil;AM;Sao Gabriel Da Cachoeira;Espécie não Sensível;-0.133333;-67.016667;Coordenada de referência da área amostrada;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Alexandre Luis Padovan Aleixo;440448;Nº Da Autorização/Licença Sisbio: 10420;31/08/2013;01/09/2013 a 01/09/2013;20/07/2016;Mionectes oleagineus;Abre-asa;Mionectes oleagineus;species;1;Sem Informações;Chordata;Aves;Passeriformes;Tyrannidae;Mionectes;Mionectes oleagineus;Espécie não Ameaçada;Sem Informações;T.I. Médio Rio Negro, Arabo (0o18s,66o49 W);Brasil;AM;Sao Gabriel Da Cachoeira;Espécie não Sensível;-0.3;-66.816667;Coordenada de referência da área amostrada;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Alexandre Luis Padovan Aleixo;440637;Nº Da Autorização/Licença Sisbio: 10420;11/11/2013;12/11/2013 a 05/12/2013;20/07/2016;Mionectes oleagineus;Abre-asa;Mionectes oleagineus;species;1;Sem Informações;Chordata;Aves;Passeriformes;Tyrannidae;Mionectes;Mionectes oleagineus;Espécie não Ameaçada;Sem Informações;Araguaína, Mata Do Garimpinho;Brasil;TO;Araguaina;Espécie não Sensível;-7.345678;-49.188058;Coordenada de referência da área amostrada;Sem Informações;Depositado em coleção/museu
