,lat,lon
289,-23.308333,-51.158333
290,-23.45,-51.25
291,-23.45,-51.25
292,-23.45,-51.25
293,-23.45,-51.25
294,-23.45,-51.25
295,-23.45,-51.25
296,-23.45,-51.25
297,-23.45,-51.25
298,-23.45,-51.25
299,-23.45,-51.25
300,-23.45,-51.25
301,-23.45,-51.25
302,-23.45,-51.25
303,-23.45,-51.25
304,-23.45,-51.25
305,-23.45,-51.25
306,-23.45,-51.25
307,-23.45,-51.25
308,-23.45,-51.25
309,-23.45,-51.25
310,-23.45,-51.25
311,-23.45,-51.25
312,-23.45,-51.25
313,-23.45,-51.25
314,-23.45,-51.25
315,-23.45,-51.25
316,-23.290028,-51.24375
317,-23.290028,-51.24375
318,-23.290028,-51.24375
319,-23.290028,-51.24375
320,-23.302722,-51.234194
321,-23.302722,-51.234194
322,-23.302722,-51.234194
323,-23.310528,-51.234111
324,-23.310528,-51.234111
325,-23.29,-51.238056
326,-23.2882,-51.242333
327,-23.2882,-51.242333
328,-23.2882,-51.242333
329,-23.2882,-51.242333
330,-23.290028,-51.24375
331,-23.290028,-51.24375
332,-23.302722,-51.234194
333,-23.302722,-51.234194
334,-23.302722,-51.234194
335,-23.302722,-51.234194
336,-23.310528,-51.234111
337,-23.29,-51.238056
338,-23.2882,-51.242333
339,-23.2882,-51.242333
340,-23.2882,-51.242333
341,-23.2882,-51.242333
342,-23.2882,-51.242333
343,-23.2882,-51.242333
344,-23.448056,-51.255833
345,-23.455086,-51.238958
346,-23.455086,-51.238958
347,-23.455086,-51.238958
348,-23.455086,-51.238958
349,-23.455086,-51.238958
350,-23.455086,-51.238958
351,-23.306786,-50.984981
352,-23.306786,-50.984981
353,-23.306786,-50.984981
354,-23.306786,-50.984981
355,-23.306786,-50.984981
356,-23.306786,-50.984981
357,-23.306786,-50.984981
358,-23.306786,-50.984981
359,-23.254717,-51.029964
360,-23.254717,-51.029964
361,-23.254717,-51.029964
362,-23.254717,-51.029964
363,-23.254717,-51.029964
364,-23.448056,-51.255831
365,-23.448056,-51.255831
366,-23.448056,-51.255833
367,-23.337528,-50.981706
368,-23.337528,-50.981708
369,-23.342256,-51.130372
